client_name,site_name
CC,Amguri
Hero Power,Aurad
Hero Power,Badnawar
Hero Power,Barod
CC,Bhadla
Adani,Bitta
Adani,Chhattisgarh
O2,Clean_Solar
Hero Power,Gunga
Athena,Hisar
Hero Power,Ichhawar
Adani,Jhansi
Adani,Kamuthi
Adani,Kanasar
Hero Power,Kavithal
ACME,Khilchipur
None,Lahori
Wind_world,Loc_2710
Wind_world,Loc_2715
Wind_world,Loc_2718
ACME,Mahoba
None,MSEDCL
ACME,MSEDCL-2
None,Muktainagar
Mrinali_Testing,Nagpur
Mrinali_Testing,New_Delhi
None,NJV_Delhi
None,Parli
Adani,Rawra
Athena,Rewa
ACME,Sadashivpet
None,Sadla
Ajax Engineerin,SafEarth Ajax Engineeing
Mrinali_Testing,Samastipur
None,SECI-1
ACME,Shantipuram
Hero Power,Siddipet
Prescinto,Site1
None,SITE1
Prescinto,Site2
None,SITE2
None,SITE3
None,SITE4
Kreate,SPP1
Kreate,SPP2
Kreate,SPP3
Kreate,SPP4
Kreate,SPP5
REConnect,SS-1
REConnect,SS-2
REConnect,SS-3
REConnect,SS-4
